available_amount,monthly_expenses,savings_goal,actual_savings
3525.5,1512.37,656.16,492.15
4007.17,1110.44,2130.07,1790.15
2556.95,2267.45,39.74,107.85
3825.04,1236.37,127.42,1148.58
7684.23,2573.6,2671.7,365.2
1132.15,341.8,375.91,354.42
8444.56,5059.43,2578.2,577.25
8708.93,4446.51,3091.0,546.47
4350.35,1630.03,1630.95,367.42
2382.52,1192.68,18.24,171.4
6407.56,4302.46,809.01,911.11
2077.05,824.99,897.58,766.0
4284.27,3601.67,236.81,517.72
9625.86,3989.37,4338.51,1364.93
9959.18,3373.43,3437.7,1557.76
7948.94,6901.25,91.74,148.52
3798.65,2915.06,359.99,473.85
7188.99,3164.57,2239.56,1451.84
7348.66,5798.11,81.09,1045.49
4490.58,2528.96,540.86,855.54
6768.0,2996.37,2163.65,637.66
1096.55,863.78,29.25,194.89
2881.52,2093.47,219.61,559.8
5725.79,2339.06,1869.24,2262.64
2473.76,1545.3,576.05,696.92
2493.16,1143.3,559.94,200.97
8526.74,1711.63,5216.87,4214.57
9902.2,8647.3,928.95,864.68
6003.72,3510.62,944.26,908.3
8551.63,5292.63,417.87,1811.68
9912.89,6145.24,2329.71,877.1
2274.36,1331.52,183.39,553.02
5034.21,2028.96,2026.31,2441.32
4533.15,3989.64,255.3,167.98
1720.44,1092.77,197.89,114.56
7797.97,5221.87,1146.64,458.79
4904.01,2542.02,1006.79,1134.93
5223.94,2097.43,2312.95,809.34
2356.06,577.34,305.03,778.43
2628.34,1170.03,1082.83,292.89
9163.93,2962.41,155.49,4035.83
1401.84,930.07,290.31,179.27
3095.67,2523.91,420.66,261.07
3628.53,1494.7,672.67,141.06
5411.78,2343.4,179.36,972.82
6278.01,4201.59,1336.66,1124.01
5439.61,1656.31,2551.05,1095.86
1757.04,1494.55,70.61,85.92
3193.01,1451.84,722.37,244.81
8592.3,2327.13,4057.16,3193.94
6738.3,2171.61,701.6,1456.26
6842.34,5835.99,506.38,115.66
7031.83,2622.76,1518.95,1644.33
7866.13,5219.87,369.24,1435.42
1522.98,471.08,699.67,372.41
4299.48,1444.07,741.68,956.68
5855.75,4775.17,807.78,492.9
4046.11,1228.49,1282.43,774.88
8600.31,1832.94,2785.5,2932.97
5343.15,2943.35,812.68,1555.44
7917.65,6365.07,497.66,795.53
8668.14,3711.64,3243.4,1426.93
5543.12,1605.92,2133.97,1498.95
9185.97,8153.11,639.29,335.05
6284.12,4233.72,690.71,873.18
8652.47,6882.9,370.11,234.54
4065.32,2953.44,77.27,237.34
5489.35,3780.9,1061.5,539.39
5782.7,2713.21,1019.75,2199.18
1944.82,830.51,453.94,312.81
4586.97,3219.46,513.47,976.98
9256.04,6494.95,952.33,1214.22
6677.49,5778.78,491.7,136.98
2597.56,1553.5,508.44,425.09
4049.7,1645.13,1869.9,1199.59
2724.43,1478.47,138.46,563.04
1223.41,770.26,207.91,135.58
9347.14,4661.52,237.06,1334.89
5033.87,3794.49,801.05,460.14
3767.82,2295.46,725.94,98.87
6386.29,1319.44,1736.43,937.98
1065.83,638.31,274.38,285.58
3502.2,2253.74,454.44,423.17
7327.3,6159.94,212.73,572.51
6703.93,3282.28,1293.39,1360.14
9836.25,5922.68,221.76,284.09
6583.22,3505.55,2210.65,862.53
5297.55,3031.05,1325.38,1382.63
7852.89,1940.55,3596.2,497.4
9129.95,7560.5,1097.98,1423.44
7486.26,6268.16,771.37,639.71
9668.9,5643.17,1390.82,1841.34
8038.05,4739.14,313.1,1648.53
8801.21,2114.84,1997.17,2530.44
2026.94,1253.79,577.75,535.5
7591.72,3798.94,2879.75,2080.68
4960.8,3454.36,925.4,109.63
5977.93,1392.78,749.88,1514.77
6886.92,4804.46,323.95,745.94
9728.34,3899.37,4102.53,1815.6
9861.2,6470.86,384.91,2162.61
3594.05,2296.56,606.33,261.28
7603.78,2728.15,1475.37,985.72
7749.85,3939.38,920.64,2581.02
4118.44,3232.74,479.96,203.63
2114.83,1319.47,610.56,298.64
1368.52,339.55,640.13,149.75
7996.09,4078.29,1523.75,1962.96
5407.3,2261.55,1109.09,1516.7
9869.86,6407.04,2514.46,767.33
5184.76,3267.41,886.75,538.95
9801.25,2031.59,3086.97,2125.97
4704.18,2941.93,962.66,491.68
8143.14,5817.42,441.24,1209.98
1763.37,1301.57,23.55,75.54
5999.16,1447.49,3113.74,1897.34
8218.54,3390.65,2345.43,173.94
9322.32,4613.53,621.1,2504.53
8403.25,2738.12,1350.78,2218.77
1332.74,659.06,533.52,68.89
4354.32,1087.67,1657.95,1096.41
1438.29,401.64,527.54,295.3
1983.54,1325.18,38.01,266.39
7077.75,2716.45,3380.85,145.36
7419.32,5178.57,1600.41,1406.6
7963.49,1860.88,2674.32,1568.04
8789.11,5219.78,883.45,364.44
7654.88,3628.52,2248.5,1134.37
8207.84,6220.56,1324.92,564.15
1440.67,1078.73,227.63,78.94
3110.82,1439.97,1306.0,329.15
6597.08,4195.08,1223.78,182.46
8723.13,3134.08,1436.27,2439.09
1040.5,630.84,163.19,37.98
5631.66,1446.69,2733.01,1283.0
7095.59,3577.76,746.74,2113.32
1266.47,415.29,157.58,207.04
4612.2,3774.47,485.77,378.64
9060.71,4633.93,1573.91,1140.28
7044.52,4322.1,1778.43,1340.75
3138.93,1419.63,197.63,800.97
8675.03,3488.39,1392.91,2686.41
4132.28,1413.42,583.14,1705.23
8680.1,7276.62,783.56,248.36
3690.49,2803.39,538.88,311.9
6312.88,1851.46,1627.54,2294.6
4572.46,3304.55,484.88,126.96
3473.43,1712.3,186.02,525.91
8979.02,1892.58,3978.77,1736.78
2688.34,1531.97,917.99,919.63
1763.3,513.18,778.0,1104.75
4077.34,1414.65,475.26,430.43
7458.75,5125.87,1162.94,1256.84
8266.88,3141.41,1209.43,1405.45
9988.69,8233.89,42.36,1258.64
3667.26,2420.46,179.36,562.31
4671.48,3655.89,83.35,428.09
2231.39,1407.19,129.19,270.44
6173.85,4989.67,753.71,281.16
9978.22,4521.92,1278.22,2132.55
7307.93,4270.74,1839.42,1853.75
6356.92,3567.01,2117.79,957.78
4531.32,3773.02,348.38,409.72
9237.69,2913.94,2455.68,4288.2
5472.25,3308.75,1298.32,1594.99
2209.3,1608.6,46.66,241.2
4288.41,1968.53,794.72,395.23
1604.5,1295.32,123.38,246.36
2817.81,1299.32,1009.55,654.12
1159.02,372.41,512.38,227.75
5079.52,3092.58,1348.36,449.13
6710.86,3317.83,1894.32,230.48
4089.63,861.41,1370.2,1634.85
4783.44,1190.54,2379.59,908.5
9632.88,3243.33,4463.9,1938.66
7767.67,5736.66,780.69,680.57
5867.71,4837.5,812.35,746.68
3560.87,2072.24,1041.82,822.91
9072.97,2485.05,2690.35,3327.07
3115.87,1788.8,73.56,799.03
3928.08,3138.24,141.85,298.83
9181.58,6653.29,1570.37,518.66
5765.88,2328.08,305.7,755.36
7680.86,2202.28,2059.07,3332.26
6316.7,5245.88,518.15,460.26
6880.95,5490.05,977.35,382.86
3694.45,877.8,1908.82,2091.06
3172.35,2463.56,433.37,414.03
3902.43,1046.04,931.63,1395.29
2398.97,586.07,206.31,843.17
8868.83,6483.3,1277.98,740.33
3549.22,2042.28,218.55,701.92
6053.4,2967.28,1385.83,1044.97
8127.77,6768.02,1066.78,414.34
8054.42,6342.95,753.47,137.27
4945.48,1188.58,1940.23,2625.15
5286.32,3337.05,1056.62,1084.92
9952.32,7370.56,1715.09,1099.93
7071.38,4139.18,1020.36,1532.82
8331.75,7399.46,371.06,711.83
9122.99,6205.76,410.68,1007.95
8088.31,2207.3,2891.95,900.84
2666.61,903.47,417.17,1010.83
6059.54,4716.57,545.38,520.24
1917.05,1720.99,120.23,70.49
6876.3,1848.61,70.67,438.63
9598.14,2593.71,3159.93,3828.17
5614.59,4123.19,206.94,446.88
4896.75,1199.94,826.26,2347.02
1322.58,327.99,27.62,345.97
9637.97,7924.07,232.35,696.84
1927.02,1465.15,364.56,78.23
1369.71,1119.18,200.13,57.36
3214.6,2106.72,638.0,654.32
1589.77,676.89,446.85,336.39
5096.06,4252.25,524.52,423.87
5644.79,2309.32,2392.34,291.54
3813.13,1498.02,961.8,822.95
1458.64,1196.79,7.39,84.44
2004.4,1356.13,367.91,124.79
4460.54,3688.73,607.94,205.2
1544.76,477.53,220.32,201.42
7283.71,6312.12,360.24,342.79
2863.18,1800.71,307.08,361.51
3718.64,2482.66,386.09,414.67
4547.13,3818.87,420.29,307.72
4749.49,2215.76,767.02,568.33
1014.95,714.22,226.41,143.86
2008.63,1302.07,446.35,211.43
8764.88,6586.17,48.19,521.6
1011.1,837.05,113.97,71.61
5573.51,3767.93,1116.36,756.65
5405.52,1337.04,1681.07,2425.21
3997.85,1312.09,1067.47,970.46
4881.94,4236.48,431.44,193.81
8025.23,7046.6,332.57,123.73
